1,2, 1.8
1,3, 4.7
1,4, 7.3
2, 14, 3.9
2, 3, 3.4
2,5, 9.1
3, 4, 3.1
3, 14, 6.4
3, 22, 12.1
3, 8, 13.8
3, 7, 1
3, 6, 4
4, 7, 6.2
4, 24, 6
4, 22, 9.5
4, 8, 11.4
5, 14, 7.1
5, 15, 6.5
5, 6, 4.3
5, 7, 1
6, 15, 3.9
6, 11, 8.4
6, 7, 0.5
7, 8, 5.9
7, 9, 5.3
7, 10, 4.5
7, 11,  7
8, 9, 5.5
8, 22,12.6
9, 10, 6.8
9, 20, 21.7
9,23, 14
9, 18, 11
10, 11, 3
10, 18, 8.5
11, 15, 8.3
11, 12, 8.2
11, 18, 4.6
11, 23, 16.3
12,13, 4.4
12,15, 7.2
12,16, 4.7
12,18, 8
13, 14, 3.9
13,15, 4
13, 16, 4.7
14,15,4.1
24,22, 7
22, 20, 20
20, 23, 17.9
23, 18, 15.3
18, 16, 9.4
18, 17, 16
16, 17, 9.3














